id,fecha_emision,ano_proceso,metodo_de_pago,cuotas_permiso,codigo_sii,comuna_propietario,comuna_permiso,valor_contado,total_a_pagar,ano_fabricacion,tipo_vehiculo,marca,modelo,cilindrada,combustible,transmision,comuna_anterior,fecha_vencimiento
75,2026-02-04,2026,PRESENCIAL,Total,SIN_CODIGO,RIO IBANEZ,RIO IBANEZ,137846,142570,2009,CAMION,FORD,CARGO 915 E,3625.0,DIES,MEC,RIO IBAÑEZ,2026-09-30
76,2026-03-26,2026,PRESENCIAL,Total,CT050001989,RIO IBANEZ,RIO IBANEZ,34876,34876,1989,CAMIONETA,CHEVROLET,LUV,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
77,2026-04-01,2026,ONLINE,1ra. Cuota,HB243018409,VITACURA,RIO IBANEZ,36055,18032,2009,AUTOMOVIL,VOLKSWAGEN,GOLF,2000.0,BENC,AUT,RIO IBAÑEZ,2026-08-31
78,2026-03-04,2026,PRESENCIAL,Total,SD176026510,RIO IBANEZ,RIO IBANEZ,34876,34876,2010,AUTOMOVIL,NISSAN,TIIDA,1600.0,BENC,MEC,PUERTO VARAS,2027-03-31
79,2026-03-28,2026,ONLINE,Total,SU243004910,RIO IBANEZ,RIO IBANEZ,61910,61909,2010,JEEP,VOLKSWAGEN,TOUAREG,3000.0,DIES,AUT,RIO IBAÑEZ,2027-03-31
80,2026-03-23,2026,ONLINE,Total,VN235003609,LO BARNECHEA,RIO IBANEZ,70259,70259,2009,STATION WAGON,TOYOTA,LAND CRUISER,4000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
81,2026-03-31,2026,PRESENCIAL,Total,CT079013509,RIO IBANEZ,RIO IBANEZ,34876,34876,2009,CAMIONETA,FORD,F150 DC LARIAT 5.4L 4X4,5400.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
82,2026-03-30,2026,PRESENCIAL,Total,SD160015309,RIO IBANEZ,RIO IBANEZ,34876,34876,2009,AUTOMOVIL,MAZDA,MAZDA3,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
83,2026-03-24,2026,PRESENCIAL,Total,SD235011599,RIO IBANEZ,RIO IBANEZ,34876,34876,1999,AUTOMOVIL,TOYOTA,TERCEL,1500.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
84,2026-05-29,2026,PRESENCIAL,Total,SU229023009,RIO IBANEZ,RIO IBANEZ,33715,37262,2009,STATION WAGON,SUZUKI,GRAND NOMADE,2000.0,BENC,MEC,RIO IBAÑEZ,2026-03-31
85,2026-03-25,2026,PRESENCIAL,Total,SU176018509,RIO IBANEZ,RIO IBANEZ,35250,34876,2009,STATION WAGON,NISSAN,X-TRAIL,2500.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
86,2026-03-30,2026,PRESENCIAL,Total,SIN_CODIGO,RIO IBANEZ,RIO IBANEZ,68923,70868,2009,CAMION,HINO,XZU 5.9,5900.0,DIES,MEC,RIO IBAÑEZ,2026-09-30
87,2026-03-28,2026,ONLINE,Total,CT050024309,RIO IBANEZ,RIO IBANEZ,35313,34876,2009,CAMIONETA,CHEVROLET,LUV,3000.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
88,2026-03-31,2026,ONLINE,Total,CT166004709,RIO IBANEZ,RIO IBANEZ,35384,35384,2009,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
89,2026-04-07,2026,ONLINE,Total,SU059009910,RIO IBANEZ,RIO IBANEZ,34876,34930,2010,STATION WAGON,DAIHATSU,TERIOS 4X4 LUJO ABS AA,1500.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
90,2026-03-13,2026,PRESENCIAL,Total,SU121002105,RIO IBANEZ,RIO IBANEZ,34876,34876,2005,STATION WAGON,JEEP,LIBERTY 4X4 3.7 AUT,3700.0,BENC,AUT,CHILE CHICO,2027-03-31
91,2026-04-12,2026,ONLINE,Total,SU106001299,RIO IBANEZ,RIO IBANEZ,34876,34968,1999,STATION WAGON,HONDA,CR-V 2.0 ABS,2000.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
92,2026-04-06,2026,ONLINE,Total,SD235007195,RIO IBANEZ,RIO IBANEZ,34876,34922,1995,AUTOMOVIL,TOYOTA,TERCEL 1.5 LE,1500.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
93,2026-03-18,2026,PRESENCIAL,Total,CT166004410,RIO IBANEZ,RIO IBANEZ,34876,34876,2010,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
94,2026-03-23,2026,PRESENCIAL,Total,SU064000606,RIO IBANEZ,RIO IBANEZ,30885,42937,2006,STATION WAGON,DODGE,DURANGO,5000.0,BENC,AUT,RIO IBAÑEZ,2024-03-31
95,2026-03-23,2026,PRESENCIAL,Total,SU064000606,RIO IBANEZ,RIO IBANEZ,32333,40650,2006,STATION WAGON,DODGE,DURANGO,5000.0,BENC,AUT,RIO IBAÑEZ,2025-03-31
96,2026-03-23,2026,PRESENCIAL,Total,SU064000606,RIO IBANEZ,RIO IBANEZ,33715,37414,2006,STATION WAGON,DODGE,DURANGO,5000.0,BENC,AUT,RIO IBAÑEZ,2026-03-31
97,2026-03-23,2026,PRESENCIAL,Total,SU064000606,RIO IBANEZ,RIO IBANEZ,36650,36650,2006,STATION WAGON,DODGE,DURANGO,5000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
98,2026-04-14,2026,ONLINE,Total,SU176019510,COYHAIQUE,RIO IBANEZ,34876,34945,2010,STATION WAGON,NISSAN,X-TRAIL,2500.0,BENC,MEC,CALERA DE TANGO,2027-03-31
99,2026-03-24,2026,PRESENCIAL,Total,CT166002601,RIO IBANEZ,RIO IBANEZ,34876,34876,2001,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
100,2026-04-21,2026,ONLINE,Total,SU225000197,RIO IBANEZ,RIO IBANEZ,34876,35037,1997,STATION WAGON,SSANGYONG,KORANDO,2600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
101,2026-03-25,2026,PRESENCIAL,Total,CT166005210,RIO IBANEZ,RIO IBANEZ,34876,34876,2010,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
102,2026-03-25,2026,PRESENCIAL,Total,CT176002994,RIO IBANEZ,RIO IBANEZ,34876,34876,1994,CAMIONETA,NISSAN,KING-CAB SIN VERSION,3000.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
103,2026-03-31,2026,ONLINE,Total,SU141005509,COLINA,RIO IBANEZ,85347,85347,2009,STATION WAGON,LAND ROVER,DISCOVERY,4000.0,BENC,AUT,RIO IBAÑEZ,2027-03-31
104,2026-03-28,2026,ONLINE,Total,CT235011610,RIO IBANEZ,RIO IBANEZ,34876,34876,2010,CAMIONETA,TOYOTA,HILUX,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
105,2026-03-28,2026,ONLINE,1ra. Cuota,VN235005310,VITACURA,RIO IBANEZ,83549,41775,2010,STATION WAGON,TOYOTA,LAND CRUISER,4000.0,BENC,AUT,RIO IBAÑEZ,2026-08-31
106,2026-03-06,2026,PRESENCIAL,Total,VN166000797,RIO IBANEZ,RIO IBANEZ,30885,42968,1997,STATION WAGON,MITSUBISHI,CHALLENGER 4X4 2.8 AUT,3000.0,BENC,AUT,COYHAIQUE,2024-03-31
107,2026-03-06,2026,PRESENCIAL,Total,VN166000797,RIO IBANEZ,RIO IBANEZ,32333,40521,1997,STATION WAGON,MITSUBISHI,CHALLENGER 4X4 2.8 AUT,3000.0,BENC,AUT,COYHAIQUE,2025-03-31
108,2026-03-06,2026,PRESENCIAL,Total,VN166000797,RIO IBANEZ,RIO IBANEZ,33715,37283,1997,STATION WAGON,MITSUBISHI,CHALLENGER 4X4 2.8 AUT,3000.0,BENC,AUT,COYHAIQUE,2026-03-31
109,2026-03-06,2026,PRESENCIAL,Total,VN166000797,RIO IBANEZ,RIO IBANEZ,34876,34876,1997,STATION WAGON,MITSUBISHI,CHALLENGER 4X4 2.8 AUT,3000.0,BENC,AUT,COYHAIQUE,2027-03-31
110,2026-03-31,2026,ONLINE,Total,SU229021310,RIO IBANEZ,RIO IBANEZ,34876,34876,2010,STATION WAGON,SUZUKI,JIMNY JX PS,1300.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
111,2026-03-31,2026,PRESENCIAL,Total,CT160009809,RIO IBANEZ,RIO IBANEZ,34876,34876,2009,CAMIONETA,MAZDA,BT50,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
112,2026-03-31,2026,ONLINE,Total,CT160010010,RIO IBANEZ,RIO IBANEZ,41402,41402,2010,CAMIONETA,MAZDA,BT50,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
113,2026-04-01,2026,ONLINE,Total,SU229023910,QUILLOTA,RIO IBANEZ,34876,34884,2010,STATION WAGON,SUZUKI,GRAND VITARA,1600.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
114,2026-01-30,2026,PRESENCIAL,Total,SIN_CODIGO,RIO IBANEZ,RIO IBANEZ,34462,34462,2010,MAQUINA INDUSTRIAL,JOHN DEERE,772 D,2400.0,DIES,MEC,RIO IBAÑEZ,2026-09-30
115,2026-03-12,2026,ONLINE,Total,CT235011710,COYHAIQUE,RIO IBANEZ,34876,34876,2010,CAMIONETA,TOYOTA,HILUX,3000.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
116,2026-03-23,2026,ONLINE,Total,SU176019810,RIO IBANEZ,RIO IBANEZ,34876,34876,2010,STATION WAGON,NISSAN,X-TRAIL X  4X4,2500.0,BENC,MEC,RIO IBAÑEZ,2027-03-31
117,2026-03-05,2026,PRESENCIAL,Total,CT166004510,RIO IBANEZ,RIO IBANEZ,35100,35100,2010,CAMIONETA,MITSUBISHI,L200,2500.0,DIES,MEC,RIO IBAÑEZ,2027-03-31
118,2026-02-27,2026,ONLINE,Total,CT064006511,COYHAIQUE,RIO IBANEZ,38036,38036,2011,CAMIONETA,DODGE,RAM,6700.0,DIES,AUT,RIO IBAÑEZ,2027-03-31
